#,Hanzi,Unicode,Mandarin reading(s),level
4057,诧,U+8BE7,chà,2
4058,诨,U+8BE8,hùn,2
4059,诩,U+8BE9,xǔ,2
4060,戕,U+6215,qiāng,2
4061,孢,U+5B62,bāo,2
4062,亟,U+4E9F,"jí, qì",2
4063,陔,U+9654,gāi,2
4064,妲,U+59B2,dá,2
4065,妯,U+59AF,zhóu,2
4066,姗,U+59D7,shān,2
4067,帑,U+5E11,tǎng,2
4068,弩,U+5F29,nǔ,2
4069,孥,U+5B65,nú,2
4070,驽,U+9A7D,nú,2
4071,虱,U+8671,shī,2
4072,迦,U+8FE6,jiā,2
4073,迨,U+8FE8,dài,2
4074,绀,U+7EC0,gàn,2
4075,绁,U+7EC1,xiè,2
4076,绂,U+7EC2,fú,2
4077,驷,U+9A77,sì,2
4078,驸,U+9A78,fù,2
4079,绉,U+7EC9,zhòu,2
4080,绌,U+7ECC,chù,2
4081,驿,U+9A7F,yì,2
4082,骀,U+9A80,"dài, tái",2
4083,甾,U+753E,zāi,2
4084,珏,U+73CF,jué,2
4085,珐,U+73D0,fà,2
4086,珂,U+73C2,kē,2
4087,珑,U+73D1,lóng,2
4088,玳,U+73B3,dài,2
4089,珀,U+73C0,pò,2
4090,顸,U+9878,hān,2
4091,珉,U+73C9,mín,2
4092,珈,U+73C8,jiā,2
4093,拮,U+62EE,jié,2
4094,垭,U+57AD,yā,2
4095,挝,U+631D,wō,2
4096,垣,U+57A3,yuán,2
4097,挞,U+631E,tà,2
4098,垤,U+57A4,dié,2
4099,赳,U+8D73,jiū,2
4100,贲,U+8D32,bēn,2
4101,垱,U+57B1,dàng,2
4102,垌,U+578C,"dòng, tóng",2
4103,郝,U+90DD,hǎo,2
4104,垧,U+57A7,shǎng,2
4105,垓,U+5793,gāi,2
4106,挦,U+6326,xián,2
4107,垠,U+57A0,yín,2
4108,茜,U+831C,"qiàn, xī",2
4109,荚,U+835A,jiá,2
4110,荑,U+8351,"tí, yí",2
4111,贳,U+8D33,shì,2
4112,荜,U+835C,bì,2
4113,莒,U+8392,jǔ,2
4114,茼,U+833C,tóng,2
4115,茴,U+8334,huí,2
4116,茱,U+8331,zhū,2
4117,莛,U+839B,tíng,2
4118,荞,U+835E,qiáo,2
4119,茯,U+832F,fú,2
4120,荏,U+834F,rěn,2
4121,荇,U+8347,xìng,2
4122,荃,U+8343,quán,2
4123,荟,U+835F,huì,2
4124,荀,U+8340,xún,2
4125,茗,U+8317,míng,2
4126,荠,U+8360,"jì, qí",2
4127,茭,U+832D,jiāo,2
4128,茨,U+8328,cí,2
4129,垩,U+57A9,è,2
4130,荥,U+8365,"xíng, yíng",2
4131,荦,U+8366,luò,2
4132,荨,U+8368,"qián, xún",2
4133,荩,U+8369,jìn,2
4134,剋,U+524B,kēi,2
4135,荪,U+836A,sūn,2
4136,茹,U+8339,rú,2
4137,荬,U+836C,mǎi,2
4138,荮,U+836E,zhòu,2
4139,柰,U+67F0,nài,2
4140,栉,U+6809,zhì,2
4141,柯,U+67EF,kē,2
4142,柘,U+67D8,zhè,2
4143,栊,U+680A,lóng,2
4144,柩,U+67E9,jiù,2
4145,枰,U+67B0,píng,2
4146,栌,U+680C,lú,2
4147,柙,U+67D9,xiá,2
4148,枵,U+67B5,xiāo,2
4149,柚,U+67DA,"yóu, yòu",2
4150,枳,U+67B3,zhǐ,2
4151,柞,U+67DE,"zhà, zuò",2
4152,柝,U+67DD,tuò,2
4153,栀,U+6800,zhī,2
4154,柢,U+67E2,dǐ,2
4155,栎,U+680E,"lì, yuè",2
4156,枸,U+67B8,"gōu, gǒu, jǔ",2
4157,柈,U+67C8,bàn,2
4158,柁,U+67C1,tuó,2
4159,枷,U+67B7,jiā,2
4160,柽,U+67FD,chēng,2
4161,剌,U+524C,là,2
4162,酊,U+914A,"dīng, dǐng",2
4163,郦,U+90E6,lì,2
4164,甭,U+752D,béng,2
4165,砗,U+7817,chē,2
4166,砘,U+7818,dùn,2
4167,砒,U+7812,pī,2
4168,斫,U+65AB,zhuó,2
4169,砭,U+782D,biān,2
4170,砜,U+781C,fēng,2
4171,奎,U+594E,kuí,2
4172,耷,U+8037,dā,2
4173,虺,U+867A,huǐ,2
4174,殂,U+6B82,cú,2
4175,殇,U+6B87,shāng,2
4176,殄,U+6B84,tiǎn,2
4177,殆,U+6B86,dài,2
4178,轱,U+8F71,gū,2
4179,轲,U+8F72,kē,2
4180,轳,U+8F73,lú,2
4181,轶,U+8F76,yì,2
4182,轸,U+8F78,zhěn,2
4183,虿,U+867F,chài,2
4184,毖,U+6BD6,bì,2
4185,觇,U+89C7,chān,2
4186,尜,U+5C1C,gá,2
4187,哐,U+54D0,kuāng,2
4188,眄,U+7704,miàn,2
4189,眍,U+770D,kōu,2
4190,𠳐,U+20CD0,bāng,2
4191,郢,U+90E2,yǐng,2
4192,眇,U+7707,miǎo,2
4193,眊,U+770A,mào,2
4194,眈,U+7708,dān,2
4195,禺,U+79BA,yú,2
4196,哂,U+54C2,shěn,2
4197,咴,U+54B4,huī,2
4198,曷,U+66F7,hé,2
4199,昴,U+6634,mǎo,2
4200,昱,U+6631,yù,2
4201,昵,U+6635,nì,2
4202,咦,U+54A6,yí,2
4203,哓,U+54D3,xiāo,2
4204,哔,U+54D4,bì,2
4205,畎,U+754E,quǎn,2
4206,毗,U+6BD7,pí,2
4207,呲,U+5472,cī,2
4208,胄,U+80C4,zhòu,2
4209,畋,U+754B,tián,2
4210,畈,U+7548,fàn,2
4211,虼,U+867C,gè,2
4212,虻,U+867B,méng,2
4213,盅,U+76C5,zhōng,2
4214,咣,U+54A3,guāng,2
4215,哕,U+54D5,"huì, yuě",2
4216,剐,U+5250,guǎ,2
4217,郧,U+90E7,yún,2
4218,咻,U+54BB,xiū,2
4219,囿,U+56FF,yòu,2
4220,咿,U+54BF,yī,2
4221,哌,U+54CC,pài,2
4222,哙,U+54D9,kuài,2
4223,哚,U+54DA,duǒ,2
4224,咯,U+54AF,"gē, kǎ, lo, luò",2
4225,咩,U+54A9,miē,2
4226,咤,U+54A4,zhà,2
4227,哝,U+54DD,nóng,2
4228,哏,U+54CF,gén,2
4229,哞,U+54DE,mōu,2
4230,峙,U+5CD9,"shì, zhì",2
4231,峣,U+5CE3,yáo,2
4232,罘,U+7F58,fú,2
4233,帧,U+5E27,zhēn,2
4234,峒,U+5CD2,"dòng, tóng",2
4235,峤,U+5CE4,"jiào, qiáo",2
4236,峋,U+5CCB,xún,2
4237,峥,U+5CE5,zhēng,2
4238,贶,U+8D36,kuàng,2
4239,钚,U+949A,bù,2
4240,钛,U+949B,tài,2
4241,钡,U+94A1,bèi,2
4242,钣,U+94A3,bǎn,2
4243,钤,U+94A4,qián,2
4244,钨,U+94A8,wū,2
4245,钫,U+94AB,fāng,2
4246,钯,U+94AF,bǎ,2
4247,氡,U+6C21,dōng,2
4248,氟,U+6C1F,fú,2
4249,牯,U+726F,gǔ,2
4250,郜,U+90DC,gào,2
4251,秕,U+79D5,bǐ,2
4252,秭,U+79ED,zǐ,2
4253,竽,U+7AFD,yú,2
4254,笈,U+7B08,jí,2
4255,笃,U+7B03,dǔ,2
4256,俦,U+4FE6,chóu,2
4257,俨,U+4FE8,yǎn,2
4258,俅,U+4FC5,qiú,2
4259,俪,U+4FEA,lì,2
4260,叟,U+53DF,sǒu,2
4261,垡,U+57A1,fá,2
4262,牮,U+726E,jiàn,2
4263,俣,U+4FE3,yǔ,2
4264,俚,U+4FDA,lǐ,2
4265,皈,U+7688,guī,2
4266,俑,U+4FD1,yǒng,2
4267,俟,U+4FDF,"qí, sì",2
4268,逅,U+9005,hòu,2
4269,徇,U+5F87,xùn,2
4270,徉,U+5F89,yáng,2
4271,舢,U+8222,shān,2
4272,俞,U+4FDE,yú,2
4273,郗,U+90D7,xī,2
4274,俎,U+4FCE,zǔ,2
4275,郤,U+90E4,xì,2
4276,爰,U+7230,yuán,2
4277,郛,U+90DB,fú,2
4278,瓴,U+74F4,líng,2
4279,胨,U+80E8,dòng,2
4280,胪,U+80EA,lú,2
4281,胛,U+80DB,jiǎ,2
4282,胂,U+80C2,shèn,2
4283,胙,U+80D9,zuò,2
4284,胍,U+80CD,guā,2
4285,胗,U+80D7,zhēn,2
4286,胝,U+80DD,zhī,2
4287,朐,U+6710,qú,2
4288,胫,U+80EB,jìng,2
4289,鸨,U+9E28,bǎo,2
4290,匍,U+530D,pú,2
4291,狨,U+72E8,róng,2
4292,狯,U+72EF,kuài,2
4293,飑,U+98D1,biāo,2
4294,狩,U+72E9,shòu,2
4295,狲,U+72F2,sūn,2
4296,訇,U+8A07,hōng,2
4297,逄,U+9004,páng,2
4298,昝,U+661D,zǎn,2
4299,饷,U+9977,xiǎng,2
4300,饸,U+9978,hé,2
4301,饹,U+9979,"gē, le",2
4302,胤,U+80E4,yìn,2
4303,孪,U+5B6A,luán,2
4304,娈,U+5A08,luán,2
4305,弈,U+5F08,yì,2
4306,奕,U+5955,yì,2
4307,庥,U+5EA5,xiū,2
4308,疬,U+75AC,lì,2
4309,疣,U+75A3,yóu,2
4310,疥,U+75A5,jiè,2
4311,疭,U+75AD,zòng,2
4312,庠,U+5EA0,xiáng,2
4313,竑,U+7AD1,hóng,2
4314,彦,U+5F66,yàn,2
4315,飒,U+98D2,sà,2
4316,闼,U+95FC,tà,2
4317,闾,U+95FE,lǘ,2
4318,闿,U+95FF,kǎi,2
4319,阂,U+9602,hé,2
4320,羑,U+7F91,yǒu,2
4321,迸,U+8FF8,bèng,2
4322,籼,U+7C7C,xiān,2
4323,酋,U+914B,qiú,2
4324,炳,U+70B3,bǐng,2
4325,炻,U+70BB,shí,2
4326,炽,U+70BD,chì,2
4327,炯,U+70AF,jiǒng,2
4328,烀,U+70C0,hū,2
4329,炷,U+70B7,zhù,2
4330,烃,U+70C3,tīng,2
4331,洱,U+6D31,ěr,2
4332,洹,U+6D39,huán,2
4333,洧,U+6D27,wěi,2
4334,洌,U+6D0C,liè,2
4335,浃,U+6D43,jiā,2
4336,洇,U+6D07,yīn,2
4337,洄,U+6D04,huí,2
4338,洙,U+6D19,zhū,2
4339,涎,U+6D8E,xián,2
4340,洎,U+6D0E,jì,2
4341,洫,U+6D2B,xù,2
4342,浍,U+6D4D,huì,2
4343,洮,U+6D2E,táo,2
4344,洵,U+6D35,xún,2
4345,浒,U+6D52,"hǔ, xǔ",2
4346,浔,U+6D54,xún,2
4347,浕,U+6D55,jìn,2
4348,洳,U+6D33,rù,2
4349,恸,U+6078,tòng,2
4350,恓,U+6053,xī,2
4351,恹,U+6079,yān,2
4352,恫,U+606B,dòng,2
4353,恺,U+607A,kǎi,2
4354,恻,U+607B,cè,2
4355,恂,U+6042,xún,2
4356,恪,U+606A,kè,2
4357,恽,U+607D,yùn,2
4358,宥,U+5BA5,yòu,2
4359,扃,U+6243,jiōng,2
4360,衲,U+8872,nà,2
4361,衽,U+887D,rèn,2
4362,衿,U+887F,jīn,2
4363,袂,U+8882,mèi,2
4364,祛,U+795B,qū,2
4365,祜,U+795C,hù,2
4366,祓,U+7953,fú,2
4367,祚,U+795A,zuò,2
4368,诮,U+8BEE,qiào,2
4369,祗,U+7957,zhī,2
4370,祢,U+7962,mí,2
4371,诰,U+8BF0,gào,2
4372,诳,U+8BF3,kuáng,2
4373,鸩,U+9E29,zhèn,2
4374,昶,U+6636,chǎng,2
4375,郡,U+90E1,jùn,2
4376,咫,U+54AB,zhǐ,2
4377,弭,U+5F2D,mǐ,2
4378,牁,U+7241,kē,2
4379,胥,U+80E5,xū,2
4380,陛,U+965B,bì,2
4381,陟,U+965F,zhì,2
4382,娅,U+5A05,yà,2
4383,姮,U+59EE,héng,2
4384,娆,U+5A06,ráo,2
4385,姝,U+59DD,shū,2
4386,姣,U+59E3,jiāo,2
4387,姘,U+59D8,pīn,2
4388,姹,U+59F9,chà,2
4389,怼,U+603C,duì,2
4390,羿,U+7FBF,yì,2
4391,炱,U+70B1,tái,2
4392,矜,U+77DC,jīn,2
4393,绔,U+7ED4,kù,2
4394,骁,U+9A81,xiāo,2
4395,骅,U+9A85,huá,2
4396,绗,U+7ED7,háng,2
4397,绛,U+7EDB,jiàng,2
4398,骈,U+9A88,pián,2
4399,耖,U+8016,chào,2
4400,挈,U+6308,qiè,2
4401,珥,U+73E5,ěr,2
4402,珙,U+73D9,gǒng,2
4403,顼,U+987C,xū,2
4404,珰,U+73F0,dāng,2
4405,珩,U+73E9,héng,2
4406,珧,U+73E7,yáo,2
4407,珣,U+73E3,xún,2
4408,珞,U+73DE,luò,2
4409,琤,U+7424,chēng,2
4410,珲,U+73F2,hún,2
4411,敖,U+6556,áo,2
4412,恚,U+605A,huì,2
4413,埔,U+57D4,"bù, pǔ",2
4414,埕,U+57D5,chéng,2
4415,埘,U+57D8,shí,2
4416,埙,U+57D9,xūn,2
4417,埚,U+57DA,guō,2
4418,挹,U+6339,yì,2
4419,耆,U+8006,qí,2
4420,耄,U+8004,mào,2
4421,埒,U+57D2,liè,2
4422,捋,U+634B,"lǚ, luō",2
4423,贽,U+8D3D,zhì,2
4424,垸,U+57B8,yuàn,2
4425,捃,U+6343,jùn,2
4426,盍,U+76CD,hé,2
4427,荸,U+8378,bí,2
4428,莆,U+8386,pú,2
4429,莳,U+83B3,"shí, shì",2
4430,莴,U+83B4,wō,2
4431,莪,U+83AA,é,2
4432,莠,U+83A0,yǒu,2
4433,莓,U+8393,méi,2
4434,莜,U+839C,yóu,2
4435,莅,U+8385,lì,2
4436,荼,U+837C,tú,2
4437,莩,U+83A9,fú,2
4438,荽,U+837D,suī,2
4439,莸,U+83B8,yóu,2
4440,荻,U+837B,dí,2
4441,莘,U+8398,"shēn, xīn",2
4442,莎,U+838E,"shā, suō",2
4443,莞,U+839E,"guǎn, wǎn",2
4444,莨,U+83A8,"làng, liáng",2
4445,鸪,U+9E2A,gū,2
4446,莼,U+83BC,chún,2
4447,栲,U+6832,kǎo,2
4448,栳,U+6833,lǎo,2
4449,郴,U+90F4,chēn,2
4450,桓,U+6853,huán,2
4451,桡,U+6861,ráo,2
4452,桎,U+684E,zhì,2
4453,桢,U+6862,zhēn,2
4454,桤,U+6864,qī,2
4455,梃,U+6883,"tǐng, tìng",2
4456,栝,U+681D,guā,2
4457,桕,U+6855,jiù,2
4458,桁,U+6841,héng,2
4459,桧,U+6867,"guì, huì",2
4460,桅,U+6845,wéi,2
4461,栟,U+681F,bēn,2
4462,桉,U+6849,ān,2
4463,栩,U+6829,xǔ,2
4464,逑,U+9011,qiú,2
4465,逋,U+900B,bū,2
4466,彧,U+5F67,yù,2
4467,鬲,U+9B32,"gé, lì",2
4468,豇,U+8C47,jiāng,2
4469,酐,U+9150,gān,2
4470,逦,U+9026,lǐ,2
4471,厝,U+539D,cuò,2
4472,孬,U+5B6C,nāo,2
4473,砝,U+781D,fǎ,2
4474,砹,U+7839,ài,2
4475,砺,U+783A,lì,2
4476,砧,U+7827,zhēn,2
4477,砷,U+7837,shēn,2
4478,砟,U+781F,zhǎ,2
4479,砼,U+783C,tóng,2
4480,砥,U+7825,dǐ,2
4481,砣,U+7823,tuó,2
4482,剞,U+525E,jī,2
4483,砻,U+783B,lóng,2
4484,轼,U+8F7C,shì,2
4485,轾,U+8F7E,zhì,2
4486,辂,U+8F82,lù,2
4487,鸫,U+9E2B,dōng,2
4488,趸,U+8DB8,dǔn,2
4489,龀,U+9F80,chèn,2
4490,鸬,U+9E2C,lú,2
4491,虔,U+8654,qián,2
4492,逍,U+900D,xiāo,2
4493,眬,U+772C,lóng,2
4494,唛,U+551B,mài,2
4495,晟,U+665F,chéng,2
4496,眩,U+7729,xuàn,2
4497,眙,U+7719,yí,2
4498,哧,U+54E7,chī,2
4499,哽,U+54FD,gěng,2
4500,唔,U+5514,wú,2
4501,晁,U+6641,cháo,2
4502,晏,U+664F,yàn,2
4503,鸮,U+9E2E,xiāo,2
4504,趵,U+8DB5,bào,2
4505,趿,U+8DBF,tā,2
4506,畛,U+755B,zhěn,2
4507,蚨,U+86A8,fú,2
4508,蚜,U+869C,yá,2
4509,蚍,U+868D,pí,2
4510,蚋,U+868B,ruì,2
4511,蚬,U+86AC,xiǎn,2
4512,蚝,U+869D,háo,2
4513,蚧,U+86A7,jiè,2
4514,唢,U+5522,suǒ,2
4515,圄,U+5704,yǔ,2
4516,唣,U+5523,zào,2
4517,唏,U+550F,xī,2
4518,盎,U+76CE,àng,2
4519,唑,U+5511,zuò,2
4520,崂,U+5D02,láo,2
4521,崃,U+5D03,lái,2
4522,罡,U+7F61,gāng,2
4523,罟,U+7F5F,gǔ,2
4524,峪,U+5CEA,yù,2
4525,觊,U+89CA,jì,2
4526,赅,U+8D45,gāi,2
4527,钰,U+94B0,yù,2
4528,钲,U+94B2,zhēng,2
4529,钴,U+94B4,gǔ,2
4530,钵,U+94B5,bō,2
4531,钹,U+94B9,bó,2
4532,钺,U+94BA,yuè,2
4533,钽,U+94BD,tǎn,2
4534,钼,U+94BC,mù,2
4535,钿,U+94BF,diàn,2
4536,铀,U+94C0,yóu,2
4537,铂,U+94C2,bó,2
4538,铄,U+94C4,shuò,2
4539,铆,U+94C6,mǎo,2
4540,铈,U+94C8,shì,2
4541,铉,U+94C9,xuàn,2
4542,铊,U+94CA,"tā, tuó",2
4543,铋,U+94CB,bì,2
4544,铌,U+94CC,ní,2
4545,铍,U+94CD,pí,2
4546,䥽,U+497D,pō,2
4547,铎,U+94CE,duó,2
4548,氩,U+6C29,yà,2
4549,氤,U+6C24,yīn,2
4550,氦,U+6C26,hài,2
4551,毪,U+6BEA,mú,2
4552,舐,U+8210,shì,2
4553,秣,U+79E3,mò,2
4554,秫,U+79EB,shú,2
4555,盉,U+76C9,hé,2
4556,笄,U+7B04,jī,2
4557,笕,U+7B15,jiǎn,2
4558,笊,U+7B0A,zhào,2
4559,笏,U+7B0F,hù,2
4560,笆,U+7B06,bā,2
4561,俸,U+4FF8,fèng,2
4562,倩,U+5029,qiàn,2
4563,俵,U+4FF5,biào,2
4564,偌,U+504C,ruò,2
4565,俳,U+4FF3,pái,2
4566,俶,U+4FF6,chù,2
4567,倬,U+502C,zhuō,2
4568,倏,U+500F,shū,2
4569,恁,U+6041,nèn,2
4570,倭,U+502D,wō,2
4571,倪,U+502A,ní,2
4572,俾,U+4FFE,bǐ,2
4573,倜,U+501C,tì,2
4574,隼,U+96BC,sǔn,2
4575,隽,U+96BD,juàn,2
4576,倌,U+500C,guān,2
4577,倥,U+5025,kǒng,2
4578,臬,U+81EC,niè,2
4579,皋,U+768B,gāo,2
4580,郫,U+90EB,pí,2
4581,倨,U+5028,jù,2
4582,衄,U+8844,nǜ,2
4583,颀,U+9880,qí,2
4584,徕,U+5F95,lái,2
4585,舫,U+822B,fǎng,2
4586,釜,U+91DC,fǔ,2
4587,奚,U+595A,xī,2
4588,衾,U+887E,qīn,2
4589,胯,U+80EF,kuà,2
4590,胱,U+80F1,guāng,2
4591,胴,U+80F4,dòng,2
4592,胭,U+80ED,yān,2
4593,脍,U+810D,kuài,2
4594,胼,U+80FC,pián,2
4595,朕,U+6715,zhèn,2
4596,脒,U+8112,mǐ,2
4597,胺,U+80FA,àn,2
4598,鸱,U+9E31,chī,2
4599,玺,U+73BA,xǐ,2
4600,鸲,U+9E32,qú,2
4601,狷,U+72F7,juàn,2
4602,猁,U+7301,lì,2
4603,狳,U+72F3,yú,2
4604,猃,U+7303,xiǎn,2
4605,狺,U+72FA,yín,2
4606,逖,U+9016,tì,2
4607,桀,U+6840,jié,2
4608,袅,U+8885,niǎo,2
4609,饽,U+997D,bō,2
4610,凇,U+51C7,sōng,2
4611,栾,U+683E,luán,2
4612,挛,U+631B,luán,2
4613,亳,U+4EB3,bó,2
4614,疳,U+75B3,gān,2
4615,疴,U+75B4,kē,2
4616,疸,U+75B8,dǎn,2
4617,疽,U+75BD,jū,2
4618,痈,U+75C8,yōng,2
4619,疱,U+75B1,pào,2
4620,痂,U+75C2,jiā,2
4621,痉,U+75C9,jìng,2
4622,衮,U+886E,gǔn,2
4623,凋,U+51CB,diāo,2
4624,颃,U+9883,háng,2
4625,恣,U+6063,zì,2
4626,旆,U+65C6,pèi,2
4627,旄,U+65C4,máo,2
4628,旃,U+65C3,zhān,2
4629,阃,U+9603,kǔn,2
4630,阄,U+9604,jiū,2
4631,訚,U+8A1A,yín,2
4632,阆,U+9606,làng,2
4633,恙,U+6059,yàng,2
4634,粑,U+7C91,bā,2
4635,朔,U+6714,shuò,2
4636,郸,U+90F8,dān,2
4637,烜,U+70DC,xuǎn,2
4638,烨,U+70E8,yè,2
4639,烩,U+70E9,huì,2
4640,烊,U+70CA,"yáng, yàng",2
4641,剡,U+5261,shàn,2
4642,郯,U+90EF,tán,2
4643,烬,U+70EC,jìn,2
4644,涑,U+6D91,sù,2
4645,浯,U+6D6F,wú,2
4646,涞,U+6D9E,lái,2
4647,涟,U+6D9F,lián,2
4648,娑,U+5A11,suō,2
4649,涅,U+6D85,niè,2
4650,涠,U+6DA0,wéi,2
4651,浞,U+6D5E,zhuó,2
4652,涓,U+6D93,juān,2
4653,浥,U+6D65,yì,2
4654,涔,U+6D94,cén,2
4655,浜,U+6D5C,bāng,2
4656,浠,U+6D60,xī,2
4657,浣,U+6D63,huàn,2
4658,浚,U+6D5A,"jùn, xùn",2
4659,悚,U+609A,sǒng,2
4660,悭,U+60AD,qiān,2
4661,悝,U+609D,kuī,2
4662,悒,U+6092,yì,2
4663,悌,U+608C,tì,2
4664,悛,U+609B,quān,2
4665,宸,U+5BB8,chén,2
4666,窈,U+7A88,yǎo,2
4667,剜,U+525C,wān,2
4668,诹,U+8BF9,zōu,2
4669,冢,U+51A2,zhǒng,2
4670,诼,U+8BFC,zhuó,2
4671,袒,U+8892,tǎn,2
4672,袢,U+88A2,pàn,2
4673,祯,U+796F,zhēn,2
4674,诿,U+8BFF,wěi,2
4675,谀,U+8C00,yú,2
4676,谂,U+8C02,shěn,2
4677,谄,U+8C04,chǎn,2
4678,谇,U+8C07,suì,2
4679,屐,U+5C50,jī,2
4680,屙,U+5C59,ē,2
4681,陬,U+966C,zōu,2
4682,勐,U+52D0,měng,2
4683,奘,U+5958,"zàng, zhuǎng",2
4684,牂,U+7242,zāng,2
4685,蚩,U+86A9,chī,2
4686,陲,U+9672,chuí,2
4687,姬,U+59EC,jī,2
4688,娠,U+5A20,shēn,2
4689,娌,U+5A0C,lǐ,2
4690,娉,U+5A09,pīng,2
4691,娲,U+5A32,wā,2
4692,娩,U+5A29,miǎn,2
4693,娴,U+5A34,xián,2
4694,娣,U+5A23,dì,2
4695,娓,U+5A13,wěi,2
4696,婀,U+5A40,ē,2
4697,畚,U+755A,běn,2
4698,逡,U+9021,qūn,2
4699,绠,U+7EE0,gěng,2
4700,骊,U+9A8A,lí,2
4701,绡,U+7EE1,xiāo,2
4702,骋,U+9A8B,chěng,2
4703,绥,U+7EE5,suí,2
4704,绦,U+7EE6,tāo,2
4705,绨,U+7EE8,tì,2
4706,骎,U+9A8E,qīn,2
4707,邕,U+9095,yōng,2
4708,鸶,U+9E36,sī,2
4709,彗,U+5F57,huì,2
4710,耜,U+801C,sì,2
4711,焘,U+7118,tāo,2
4712,舂,U+8202,chōng,2
4713,琏,U+740F,liǎn,2
4714,琇,U+7407,xiù,2
4715,麸,U+9EB8,fū,2
4716,揶,U+63F6,yé,2
4717,埴,U+57F4,zhí,2
4718,埯,U+57EF,ǎn,2
4719,捯,U+636F,dáo,2
4720,掳,U+63B3,lǔ,2
4721,掴,U+63B4,guāi,2
4722,埸,U+57F8,yì,2
4723,埵,U+57F5,duǒ,2
4724,赧,U+8D67,nǎn,2
4725,埤,U+57E4,pì,2
4726,捭,U+636D,bǎi,2
4727,逵,U+9035,kuí,2
4728,埝,U+57DD,niàn,2
4729,堋,U+580B,péng,2
4730,堍,U+580D,tù,2
4731,掬,U+63AC,jū,2
4732,鸷,U+9E37,zhì,2
4733,掖,U+6396,"yē, yè",2
4734,捽,U+637D,zuó,2
4735,掊,U+638A,"póu, pǒu",2
4736,堉,U+5809,yù,2
4737,掸,U+63B8,dǎn,2
4738,捩,U+6369,liè,2
4739,掮,U+63AE,qián,2
4740,悫,U+60AB,què,2
4741,埭,U+57ED,dài,2
4742,埽,U+57FD,sào,2
4743,掇,U+6387,duō,2
4744,掼,U+63BC,guàn,2
4745,聃,U+8043,dān,2
4746,菁,U+83C1,jīng,2
4747,萁,U+8401,qí,2
4748,菘,U+83D8,sōng,2
4749,堇,U+5807,jǐn,2
4750,萘,U+8418,nài,2
4751,萋,U+840B,qī,2
4752,菽,U+83FD,shū,2
4753,菖,U+83D6,chāng,2
4754,萜,U+841C,tiē,2
4755,萸,U+8438,yú,2
4756,萑,U+8411,huán,2
4757,棻,U+68FB,fēn,2
4758,菔,U+83D4,fú,2
4759,菟,U+83DF,tù,2
4760,萏,U+840F,dàn,2
4761,萃,U+8403,cuì,2
4762,菏,U+83CF,hé,2
4763,菹,U+83F9,zū,2
4764,菪,U+83EA,dàng,2
4765,菅,U+83C5,jiān,2
4766,菀,U+83C0,wǎn,2
4767,萦,U+8426,yíng,2
4768,菰,U+83F0,gū,2
4769,菡,U+83E1,hàn,2
4770,梵,U+68B5,fàn,2
4771,梿,U+68BF,lián,2
4772,梏,U+688F,gù,2
4773,觋,U+89CB,xí,2
4774,桴,U+6874,fú,2
4775,桷,U+6877,jué,2
4776,梓,U+6893,zǐ,2
4777,棁,U+68C1,zhuō,2
4778,桫,U+686B,suō,2
4779,棂,U+68C2,líng,2
4780,啬,U+556C,sè,2
4781,郾,U+90FE,yǎn,2
4782,匮,U+532E,kuì,2
4783,敕,U+6555,chì,2
4784,豉,U+8C49,chǐ,2
4785,鄄,U+9104,juàn,2
4786,酞,U+915E,tài,2
4787,酚,U+915A,fēn,2
4788,戛,U+621B,"gā, jiá",2
4789,硎,U+784E,xíng,2
4790,硭,U+786D,máng,2
4791,硒,U+7852,xī,2
4792,硖,U+7856,xiá,2
4793,硗,U+7857,qiāo,2
4794,硐,U+7850,dòng,2
4795,硇,U+7847,náo,2
4796,硌,U+784C,gè,2
4797,鸸,U+9E38,ér,2
4798,瓠,U+74E0,hù,2
4799,匏,U+530F,páo,2
4800,厩,U+53A9,jiù,2
4801,龚,U+9F9A,gōng,2
4802,殒,U+6B92,yǔn,2
4803,殓,U+6B93,liàn,2
4804,殍,U+6B8D,piǎo,2
4805,赉,U+8D49,lài,2
4806,雩,U+96E9,yú,2
4807,辄,U+8F84,zhé,2
4808,堑,U+5811,qiàn,2
4809,眭,U+772D,suī,2
4810,眦,U+7726,zì,2
4811,啧,U+5567,zé,2
4812,晡,U+6661,bū,2
4813,晤,U+6664,wù,2
4814,眺,U+773A,tiào,2
4815,眵,U+7735,chī,2
4816,眸,U+7738,móu,2
4817,圊,U+570A,qīng,2
4818,喏,U+558F,nuò,2
4819,喵,U+55B5,miāo,2
4820,啉,U+5549,lín,2
4821,勖,U+52D6,xù,2
4822,晞,U+665E,xī,2
4823,唵,U+5535,ǎn,2
4824,晗,U+6657,hán,2
4825,冕,U+5195,miǎn,2
4826,啭,U+556D,zhuàn,2
4827,畦,U+7566,qí,2
4828,趺,U+8DBA,fū,2
4829,啮,U+556E,niè,2
4830,跄,U+8DC4,qiàng,2
4831,蚶,U+86B6,hān,2
4832,蛄,U+86C4,"gū, gǔ",2
4833,蛎,U+86CE,lì,2
4834,蛆,U+86C6,qū,2
4835,蚰,U+86B0,yóu,2
4836,蛊,U+86CA,gǔ,2
4837,圉,U+5709,yǔ,2
4838,蚱,U+86B1,zhà,2
4839,蛉,U+86C9,líng,2
4840,蛏,U+86CF,chēng,2
4841,蚴,U+86B4,yòu,2
4842,啁,U+5541,"zhāo, zhōu",2
4843,啕,U+5555,táo,2
