#,Hanzi,Unicode,Mandarin reading(s),level
292,犯,U+72AF,fàn,1
293,外,U+5916,wài,1
294,处,U+5904,"chǔ, chù",1
295,冬,U+51AC,dōng,1
296,鸟,U+9E1F,niǎo,1
297,务,U+52A1,wù,1
298,包,U+5305,bāo,1
299,饥,U+9965,jī,1
300,主,U+4E3B,zhǔ,1
301,市,U+5E02,shì,1
302,立,U+7ACB,lì,1
303,冯,U+51AF,féng,1
304,玄,U+7384,xuán,1
305,闪,U+95EA,shǎn,1
306,兰,U+5170,lán,1
307,半,U+534A,bàn,1
308,汁,U+6C41,zhī,1
309,汇,U+6C47,huì,1
310,头,U+5934,tóu,1
311,汉,U+6C49,hàn,1
312,宁,U+5B81,"níng, nìng",1
313,穴,U+7A74,xué,1
314,它,U+5B83,tā,1
315,讨,U+8BA8,tǎo,1
316,写,U+5199,xiě,1
317,让,U+8BA9,ràng,1
318,礼,U+793C,lǐ,1
319,训,U+8BAD,xùn,1
320,议,U+8BAE,yì,1
321,必,U+5FC5,bì,1
322,讯,U+8BAF,xùn,1
323,记,U+8BB0,jì,1
324,永,U+6C38,yǒng,1
325,司,U+53F8,sī,1
326,尼,U+5C3C,ní,1
327,民,U+6C11,mín,1
328,弗,U+5F17,fú,1
329,弘,U+5F18,hóng,1
330,出,U+51FA,chū,1
331,辽,U+8FBD,liáo,1
332,奶,U+5976,nǎi,1
333,奴,U+5974,nú,1
334,召,U+53EC,"shào, zhào",1
335,加,U+52A0,jiā,1
336,皮,U+76AE,pí,1
337,边,U+8FB9,biān,1
338,孕,U+5B55,yùn,1
339,发,U+53D1,"fā, fà",1
340,圣,U+5723,shèng,1
341,对,U+5BF9,duì,1
342,台,U+53F0,"tāi, tái",1
343,矛,U+77DB,máo,1
344,纠,U+7EA0,jiū,1
345,母,U+6BCD,mǔ,1
346,幼,U+5E7C,yòu,1
347,丝,U+4E1D,sī,1
348,邦,U+90A6,bāng,1
349,式,U+5F0F,shì,1
350,迂,U+8FC2,yū,1
351,刑,U+5211,xíng,1
352,戎,U+620E,róng,1
353,动,U+52A8,dòng,1
354,扛,U+625B,"gāng, káng",1
355,寺,U+5BFA,sì,1
356,吉,U+5409,jí,1
357,扣,U+6263,kòu,1
358,考,U+8003,kǎo,1
359,托,U+6258,tuō,1
360,老,U+8001,lǎo,1
361,巩,U+5DE9,gǒng,1
362,圾,U+573E,jī,1
363,执,U+6267,zhí,1
364,扩,U+6269,kuò,1
365,扫,U+626B,"sǎo, sào",1
366,地,U+5730,"de, dì",1
367,场,U+573A,"cháng, chǎng",1
368,扬,U+626C,yáng,1
369,耳,U+8033,ěr,1
370,芋,U+828B,yù,1
371,共,U+5171,gòng,1
372,芒,U+8292,máng,1
373,亚,U+4E9A,yà,1
374,芝,U+829D,zhī,1
375,朽,U+673D,xiǔ,1
376,朴,U+6734,"piáo, pò, pǔ",1
377,机,U+673A,jī,1
378,权,U+6743,quán,1
379,过,U+8FC7,"guō, guò",1
380,臣,U+81E3,chén,1
381,吏,U+540F,lì,1
382,再,U+518D,zài,1
383,协,U+534F,xié,1
384,西,U+897F,xī,1
385,压,U+538B,"yā, yà",1
386,厌,U+538C,yàn,1
387,戌,U+620C,"qu, xū",1
388,在,U+5728,zài,1
389,百,U+767E,bǎi,1
390,有,U+6709,yǒu,1
391,存,U+5B58,cún,1
392,而,U+800C,ér,1
393,页,U+9875,yè,1
394,匠,U+5320,jiàng,1
395,夸,U+5938,kuā,1
396,夺,U+593A,duó,1
397,灰,U+7070,huī,1
398,达,U+8FBE,dá,1
399,列,U+5217,liè,1
400,死,U+6B7B,sǐ,1
401,成,U+6210,chéng,1
402,夹,U+5939,"gā, jiā, jiá",1
403,夷,U+5937,yí,1
404,轨,U+8F68,guǐ,1
405,邪,U+90AA,xié,1
406,尧,U+5C27,yáo,1
407,划,U+5212,"huá, huà",1
408,迈,U+8FC8,mài,1
409,毕,U+6BD5,bì,1
410,至,U+81F3,zhì,1
411,此,U+6B64,cǐ,1
412,贞,U+8D1E,zhēn,1
413,师,U+5E08,shī,1
414,尘,U+5C18,chén,1
415,尖,U+5C16,jiān,1
416,劣,U+52A3,liè,1
417,光,U+5149,guāng,1
418,当,U+5F53,"dāng, dàng",1
419,早,U+65E9,zǎo,1
420,吁,U+5401,"xū, yū, yù",1
421,吐,U+5410,"tǔ, tù",1
422,吓,U+5413,"hè, xià",1
423,虫,U+866B,chóng,1
424,曲,U+66F2,"qū, qǔ",1
425,团,U+56E2,tuán,1
426,吕,U+5415,lǚ,1
427,同,U+540C,"tóng, tòng",1
428,吊,U+540A,diào,1
429,吃,U+5403,chī,1
430,因,U+56E0,yīn,1
431,吸,U+5438,xī,1
432,吗,U+5417,"má, mǎ, ma",1
433,吆,U+5406,yāo,1
434,屿,U+5C7F,yǔ,1
435,屹,U+5C79,yì,1
436,岁,U+5C81,suì,1
437,帆,U+5E06,fān,1
438,回,U+56DE,huí,1
439,岂,U+5C82,qǐ,1
440,则,U+5219,zé,1
441,刚,U+521A,gāng,1
442,网,U+7F51,wǎng,1
443,肉,U+8089,ròu,1
444,年,U+5E74,nián,1
445,朱,U+6731,zhū,1
446,先,U+5148,xiān,1
447,丢,U+4E22,diū,1
448,廷,U+5EF7,tíng,1
449,舌,U+820C,shé,1
450,竹,U+7AF9,zhú,1
451,迁,U+8FC1,qiān,1
452,乔,U+4E54,qiáo,1
453,迄,U+8FC4,qì,1
454,伟,U+4F1F,wěi,1
455,传,U+4F20,"chuán, zhuàn",1
456,乒,U+4E52,pīng,1
457,乓,U+4E53,pāng,1
458,休,U+4F11,xiū,1
459,伍,U+4F0D,wǔ,1
460,伏,U+4F0F,fú,1
461,优,U+4F18,yōu,1
462,臼,U+81FC,jiù,1
463,伐,U+4F10,fá,1
464,延,U+5EF6,yán,1
465,仲,U+4EF2,zhòng,1
466,件,U+4EF6,jiàn,1
467,任,U+4EFB,"rén, rèn",1
468,伤,U+4F24,shāng,1
469,价,U+4EF7,"jià, jie",1
470,伦,U+4F26,lún,1
471,份,U+4EFD,fèn,1
472,华,U+534E,"huá, huà",1
473,仰,U+4EF0,yǎng,1
474,仿,U+4EFF,fǎng,1
475,伙,U+4F19,huǒ,1
476,伪,U+4F2A,wěi,1
477,自,U+81EA,zì,1
478,伊,U+4F0A,yī,1
479,血,U+8840,"xiě, xuè",1
480,向,U+5411,xiàng,1
481,似,U+4F3C,"shì, sì",1
482,后,U+540E,hòu,1
483,行,U+884C,"háng, héng, xíng",1
484,舟,U+821F,zhōu,1
485,全,U+5168,quán,1
486,会,U+4F1A,"huì, kuài",1
487,杀,U+6740,shā,1
488,合,U+5408,"gě, hé",1
489,兆,U+5146,zhào,1
490,企,U+4F01,qǐ,1
491,众,U+4F17,zhòng,1
492,爷,U+7237,yé,1
493,伞,U+4F1E,sǎn,1
494,创,U+521B,"chuāng, chuàng",1
495,肌,U+808C,jī,1
496,肋,U+808B,lèi,1
497,朵,U+6735,duǒ,1
498,杂,U+6742,zá,1
499,危,U+5371,wēi,1
500,旬,U+65EC,xún,1
501,旨,U+65E8,zhǐ,1
502,旭,U+65ED,xù,1
503,负,U+8D1F,fù,1
504,匈,U+5308,xiōng,1
505,名,U+540D,míng,1
506,各,U+5404,gè,1
507,多,U+591A,duō,1
508,争,U+4E89,zhēng,1
509,色,U+8272,"sè, shǎi",1
510,壮,U+58EE,zhuàng,1
511,冲,U+51B2,"chōng, chòng",1
512,妆,U+5986,zhuāng,1
513,冰,U+51B0,bīng,1
514,庄,U+5E84,zhuāng,1
515,庆,U+5E86,qìng,1
516,亦,U+4EA6,yì,1
517,刘,U+5218,liú,1
518,齐,U+9F50,qí,1
519,交,U+4EA4,jiāo,1
520,衣,U+8863,yī,1
